PRICE,HEIGHT,WIDTH,SIGNED,PICTURE,HOUSE ,Area =H * W,norm SIGNED,norm PICTURE,norm HOUUSE,norm HEIGHT,norm WIDTH,norm Area
1.5425,24,29.1,1,78,1,698.4,0.1,0.078,0.1,0.24,0.291,0.06984
2.2,24.1,29.4,1,78,1,708.54,0.1,0.078,0.1,0.241,0.294,0.070854
0.77,25.8,36.2,1,79,1,933.96,0.1,0.079,0.1,0.258,0.362,0.093396
3.3,25.6,36.2,1,80,2,926.72,0.1,0.08,0.2,0.256,0.362,0.092672
2.4225,25.6,31.9,1,81,2,816.64,0.1,0.081,0.2,0.256,0.319,0.081664
0.13148,25.6,31.9,1,82,2,816.64,0.1,0.082,0.2,0.256,0.319,0.081664
0.058901,11.2,19.7,0,83,3,220.64,0,0.083,0.3,0.112,0.197,0.022064
1.045,23.6,29,1,84,1,684.4,0.1,0.084,0.1,0.236,0.29,0.06844
0.209,23.8,31.9,1,85,2,759.22,0.1,0.085,0.2,0.238,0.319,0.075922
0.050545,11,11,0,86,1,121,0,0.086,0.1,0.11,0.11,0.0121
0.052172,18.3,29,0,87,1,530.7,0,0.087,0.1,0.183,0.29,0.05307
0.032658,11.7,27.5,0,88,3,321.75,0,0.088,0.3,0.117,0.275,0.032175
1.76,35,27,1,89,2,945,0.1,0.089,0.2,0.35,0.27,0.0945
0.598537,21.3,25.6,0,90,2,545.28,0,0.09,0.2,0.213,0.256,0.054528
1.43,25.6,39.4,1,91,1,1008.64,0.1,0.091,0.1,0.256,0.394,0.100864
0.6845,23.6,29.1,1,92,2,686.76,0.1,0.092,0.2,0.236,0.291,0.068676
0.7,21.7,31.9,1,93,1,692.23,0.1,0.093,0.1,0.217,0.319,0.069223
1.656,24,31.1,1,94,1,746.4,0.1,0.094,0.1,0.24,0.311,0.07464
0.5305,23.5,29,1,95,1,681.5,0.1,0.095,0.1,0.235,0.29,0.06815
3.11468,25.2,39,1,96,2,982.8,0.1,0.096,0.2,0.252,0.39,0.09828
0.3435,15.5,18.9,1,97,2,292.95,0.1,0.097,0.2,0.155,0.189,0.029295
1.68299,28.7,39.4,1,98,1,1130.78,0.1,0.098,0.1,0.287,0.394,0.113078
2.128,23.6,29.5,1,99,2,696.2,0.1,0.099,0.2,0.236,0.295,0.06962
4.73,23.6,29.5,1,100,1,696.2,0.1,0.1,0.1,0.236,0.295,0.06962
3.0895,32.6,24.5,1,101,2,798.7,0.1,0.101,0.2,0.326,0.245,0.07987
11,21.3,29.1,1,102,2,619.83,0.1,0.102,0.2,0.213,0.291,0.061983
1.0475,21.9,28.7,1,103,2,628.53,0.1,0.103,0.2,0.219,0.287,0.062853
0.491071,23.6,39.4,1,104,2,929.84,0.1,0.104,0.2,0.236,0.394,0.092984
0.57592,15.9,21.3,1,105,2,338.67,0.1,0.105,0.2,0.159,0.213,0.033867
2.335805,25.6,36.2,1,106,1,926.72,0.1,0.106,0.1,0.256,0.362,0.092672
0.7175,25.5,36.3,1,107,2,925.65,0.1,0.107,0.2,0.255,0.363,0.092565
1.815,25.9,32.9,1,108,2,852.11,0.1,0.108,0.2,0.259,0.329,0.085211
0.722272,23.9,32,1,109,1,764.8,0.1,0.109,0.1,0.239,0.32,0.07648
0.4975,23.7,32,1,109,1,758.4,0.1,0.109,0.1,0.237,0.32,0.07584
0.284482,23.6,31.9,0,110,2,752.84,0,0.11,0.2,0.236,0.319,0.075284
1.45918,23.6,39.4,1,111,2,929.84,0.1,0.111,0.2,0.236,0.394,0.092984
0.486048,31.9,23.6,1,112,1,752.84,0.1,0.112,0.1,0.319,0.236,0.075284
2.262523,47.2,39.4,0,113,2,1859.68,0,0.113,0.2,0.472,0.394,0.185968
1.656,47.5,39.5,0,113,1,1876.25,0,0.113,0.1,0.475,0.395,0.187625
0.8525,78.7,39.8,0,114,2,3132.26,0,0.114,0.2,0.787,0.398,0.313226
1.0805,39.8,39.8,1,115,1,1584.04,0.1,0.115,0.1,0.398,0.398,0.158404
0.6075,39.8,39.8,0,115,2,1584.04,0,0.115,0.2,0.398,0.398,0.158404
3.5,78.7,39.5,0,116,1,3108.65,0,0.116,0.1,0.787,0.395,0.310865
6.6,23.8,28.9,1,117,2,687.82,0.1,0.117,0.2,0.238,0.289,0.068782
0.6325,21.7,29.1,1,118,2,631.47,0.1,0.118,0.2,0.217,0.291,0.063147
5.01809,24,31.5,1,119,2,756,0.1,0.119,0.2,0.24,0.315,0.0756
0.6325,21.5,28.9,1,120,2,621.35,0.1,0.12,0.2,0.215,0.289,0.062135
0.472854,23.6,28.9,1,121,1,682.04,0.1,0.121,0.1,0.236,0.289,0.068204
1.22486,41.7,28.5,1,122,2,1188.45,0.1,0.122,0.2,0.417,0.285,0.118845
12.1893,41.7,28.7,1,122,1,1196.79,0.1,0.122,0.1,0.417,0.287,0.119679
0.340586,20.5,26.8,1,123,3,549.4,0.1,0.123,0.3,0.205,0.268,0.05494
0.6075,25.8,31.9,1,124,1,823.02,0.1,0.124,0.1,0.258,0.319,0.082302
1.051,26.1,32.2,1,125,1,840.42,0.1,0.125,0.1,0.261,0.322,0.084042
1.2125,26.3,32.1,1,125,1,844.23,0.1,0.125,0.1,0.263,0.321,0.084423
2.2025,24,39.3,1,126,2,943.2,0.1,0.126,0.2,0.24,0.393,0.09432
1.164558,23.2,31.5,1,127,2,730.8,0.1,0.127,0.2,0.232,0.315,0.07308
0.328067,24,29.1,1,128,2,698.4,0.1,0.128,0.2,0.24,0.291,0.06984
0.908,25.6,39.4,1,129,1,1008.64,0.1,0.129,0.1,0.256,0.394,0.100864
2.42575,25.5,31.9,1,130,2,813.45,0.1,0.13,0.2,0.255,0.319,0.081345
1.4875,25.6,31.9,1,130,1,816.64,0.1,0.13,0.1,0.256,0.319,0.081664
9.6825,57.9,89,1,131,1,5153.1,0.1,0.131,0.1,0.579,0.89,0.51531
1.27605,19.7,24,1,132,2,472.8,0.1,0.132,0.2,0.197,0.24,0.04728
0.2885,21,28.7,0,133,2,602.7,0,0.133,0.2,0.21,0.287,0.06027
0.359547,28.7,35.8,1,134,2,1027.46,0.1,0.134,0.2,0.287,0.358,0.102746
0.405968,24.5,32,1,135,1,784,0.1,0.135,0.1,0.245,0.32,0.0784
0.8695,27.9,36.5,0,136,1,1018.35,0,0.136,0.1,0.279,0.365,0.101835
0.805007,36.3,28.9,0,137,1,1049.07,0,0.137,0.1,0.363,0.289,0.104907
4.7115,28.7,36.2,1,138,1,1038.94,0.1,0.138,0.1,0.287,0.362,0.103894
1.5425,25.6,36.2,1,139,1,926.72,0.1,0.139,0.1,0.256,0.362,0.092672
0.253,25.6,31.7,0,140,1,811.52,0,0.14,0.1,0.256,0.317,0.081152
0.58,28.7,36.2,0,141,1,1038.94,0,0.141,0.1,0.287,0.362,0.103894
6.6025,25.6,36.3,1,142,3,929.28,0.1,0.142,0.3,0.256,0.363,0.092928
0.32386,23.2,31.5,1,143,2,730.8,0.1,0.143,0.2,0.232,0.315,0.07308
16.566547,18.7,29.1,1,144,2,544.17,0.1,0.144,0.2,0.187,0.291,0.054417
10.78,18.7,29.1,1,144,1,544.17,0.1,0.144,0.1,0.187,0.291,0.054417
1.18625,28.7,36.2,1,145,2,1038.94,0.1,0.145,0.2,0.287,0.362,0.103894
0.984948,28.7,23.6,1,146,2,677.32,0.1,0.146,0.2,0.287,0.236,0.067732
3.85,29,36.5,1,147,1,1058.5,0.1,0.147,0.1,0.29,0.365,0.10585
0.790229,29,36.5,1,147,2,1058.5,0.1,0.147,0.2,0.29,0.365,0.10585
2.326129,29,36.5,1,147,2,1058.5,0.1,0.147,0.2,0.29,0.365,0.10585
0.286,25.6,36.2,0,148,2,926.72,0,0.148,0.2,0.256,0.362,0.092672
5.137545,20.9,28.7,1,149,1,599.83,0.1,0.149,0.1,0.209,0.287,0.059983
4.63008,20.9,28.7,1,149,2,599.83,0.1,0.149,0.2,0.209,0.287,0.059983
0.78766,25.6,31.5,1,150,1,806.4,0.1,0.15,0.1,0.256,0.315,0.08064
0.6075,23.6,37.9,1,151,2,894.44,0.1,0.151,0.2,0.236,0.379,0.089444
0.444273,23.6,31.9,0,152,3,752.84,0,0.152,0.3,0.236,0.319,0.075284
0.25394,23.6,31.9,1,152,2,752.84,0.1,0.152,0.2,0.236,0.319,0.075284
3.368,26.8,35.4,1,153,2,948.72,0.1,0.153,0.2,0.268,0.354,0.094872
0.385,25.6,31.9,1,154,2,816.64,0.1,0.154,0.2,0.256,0.319,0.081664
2.9195,23.6,28.7,1,155,1,677.32,0.1,0.155,0.1,0.236,0.287,0.067732
0.373393,11.6,23.3,0,156,1,270.28,0,0.156,0.1,0.116,0.233,0.027028
7.6,23.5,31.4,1,157,1,737.9,0.1,0.157,0.1,0.235,0.314,0.07379
2.64,21.7,26,1,158,2,564.2,0.1,0.158,0.2,0.217,0.26,0.05642
0.55,23.6,39.4,1,159,1,929.84,0.1,0.159,0.1,0.236,0.394,0.092984
0.304858,15.7,28.7,1,160,2,450.59,0.1,0.16,0.2,0.157,0.287,0.045059
0.8,19.8,25.5,1,161,2,504.9,0.1,0.161,0.2,0.198,0.255,0.05049
0.399166,17.7,23.6,0,162,3,417.72,0,0.162,0.3,0.177,0.236,0.041772
0.535074,22,29.3,1,163,2,644.6,0.1,0.163,0.2,0.22,0.293,0.06446
0.848,22.1,28.9,1,163,2,638.69,0.1,0.163,0.2,0.221,0.289,0.063869
0.7725,19.8,32.6,0,164,2,645.48,0,0.164,0.2,0.198,0.326,0.064548
0.44,23.8,39.6,1,165,1,942.48,0.1,0.165,0.1,0.238,0.396,0.094248
1.2125,26,39.6,1,166,2,1029.6,0.1,0.166,0.2,0.26,0.396,0.10296
0.352,18.9,24.8,1,167,1,468.72,0.1,0.167,0.1,0.189,0.248,0.046872
1.6525,25.5,32,1,168,2,816,0.1,0.168,0.2,0.255,0.32,0.0816
0.3875,19.5,32,1,168,1,624,0.1,0.168,0.1,0.195,0.32,0.0624
2.3595,25.7,31.9,1,169,1,819.83,0.1,0.169,0.1,0.257,0.319,0.081983
0.121,21.3,32.1,0,170,1,683.73,0,0.17,0.1,0.213,0.321,0.068373
0.638686,21.3,32.1,0,170,1,683.73,0,0.17,0.1,0.213,0.321,0.068373
2.2025,25.6,36.2,1,171,1,926.72,0.1,0.171,0.1,0.256,0.362,0.092672
0.5745,19.5,32,1,172,1,624,0.1,0.172,0.1,0.195,0.32,0.0624
1.9857,28.7,39.4,1,173,2,1130.78,0.1,0.173,0.2,0.287,0.394,0.113078
0.33,23.6,31.9,1,174,2,752.84,0.1,0.174,0.2,0.236,0.319,0.075284
1.4325,25.5,36.4,1,175,2,928.2,0.1,0.175,0.2,0.255,0.364,0.09282
0.2718,26,15,1,176,2,390,0.1,0.176,0.2,0.26,0.15,0.039
0.3325,26,15,1,176,1,390,0.1,0.176,0.1,0.26,0.15,0.039
1.4635,28.9,36.3,1,177,1,1049.07,0.1,0.177,0.1,0.289,0.363,0.104907
0.839397,28.7,21.7,1,178,2,622.79,0.1,0.178,0.2,0.287,0.217,0.062279
0.33,35,39.4,0,179,2,1379,0,0.179,0.2,0.35,0.394,0.1379
0.726,20,26,1,180,1,520,0.1,0.18,0.1,0.2,0.26,0.052
7.728935,39.4,78.7,0,181,2,3100.78,0,0.181,0.2,0.394,0.787,0.310078
16.808,39.4,78.7,0,181,2,3100.78,0,0.181,0.2,0.394,0.787,0.310078
6.826,39.8,79,0,181,1,3144.2,0,0.181,0.1,0.398,0.79,0.31442
9.9025,38.4,78.1,0,181,2,2999.04,0,0.181,0.2,0.384,0.781,0.299904
12.1,39.4,78.7,1,182,1,3100.78,0.1,0.182,0.1,0.394,0.787,0.310078
3.85,38.6,51.4,0,183,1,1984.04,0,0.183,0.1,0.386,0.514,0.198404
8.99796,39.4,78.7,0,184,2,3100.78,0,0.184,0.2,0.394,0.787,0.310078
0.866451,21.3,29.1,1,185,2,619.83,0.1,0.185,0.2,0.213,0.291,0.061983
0.5451,22.2,29.1,1,186,1,646.02,0.1,0.186,0.1,0.222,0.291,0.064602
0.5525,20,24.1,1,187,2,482,0.1,0.187,0.2,0.2,0.241,0.0482
1.330368,25.6,31.9,1,188,1,816.64,0.1,0.188,0.1,0.256,0.319,0.081664
2.8276,17.5,28.3,1,189,1,495.25,0.1,0.189,0.1,0.175,0.283,0.049525
0.69,15.7,31,1,190,2,486.7,0.1,0.19,0.2,0.157,0.31,0.04867
0.2995,23.6,31.6,0,191,1,745.76,0,0.191,0.1,0.236,0.316,0.074576
0.205075,21.7,25.6,1,192,3,555.52,0.1,0.192,0.3,0.217,0.256,0.055552
0.245183,25,35.8,1,193,2,895,0.1,0.193,0.2,0.25,0.358,0.0895
12.1025,32,36.4,1,194,2,1164.8,0.1,0.194,0.2,0.32,0.364,0.11648
9.9,32,36.4,1,194,2,1164.8,0.1,0.194,0.2,0.32,0.364,0.11648
11.55,28.7,36.2,1,195,2,1038.94,0.1,0.195,0.2,0.287,0.362,0.103894
0.6735,23.5,31.5,1,196,1,740.25,0.1,0.196,0.1,0.235,0.315,0.074025
0.8475,23.8,28.7,1,197,1,683.06,0.1,0.197,0.1,0.238,0.287,0.068306
13.2025,39.6,32.3,1,198,1,1279.08,0.1,0.198,0.1,0.396,0.323,0.127908
2.7525,23.6,28.7,1,199,1,677.32,0.1,0.199,0.1,0.236,0.287,0.067732
5.83,35,36.2,1,200,2,1267,0.1,0.2,0.2,0.35,0.362,0.1267
0.682,25.6,39.4,1,201,2,1008.64,0.1,0.201,0.2,0.256,0.394,0.100864
1.2675,25.6,39.4,1,202,1,1008.64,0.1,0.202,0.1,0.256,0.394,0.100864
1.0145,28.3,36,1,203,1,1018.8,0.1,0.203,0.1,0.283,0.36,0.10188
4.2375,28.7,36.2,1,204,1,1038.94,0.1,0.204,0.1,0.287,0.362,0.103894
4.1825,25,35.4,1,205,1,885,0.1,0.205,0.1,0.25,0.354,0.0885
2,32,26,1,206,2,832,0.1,0.206,0.2,0.32,0.26,0.0832
2.52874,31.9,26,1,207,2,829.4,0.1,0.207,0.2,0.319,0.26,0.08294
3.08,25.6,36.2,1,208,1,926.72,0.1,0.208,0.1,0.256,0.362,0.092672
14.3,32.3,36.5,1,209,1,1178.95,0.1,0.209,0.1,0.323,0.365,0.117895
14.58075,32.1,36.6,1,210,2,1174.86,0.1,0.21,0.2,0.321,0.366,0.117486
9.9,31.9,36.2,1,210,1,1154.78,0.1,0.21,0.1,0.319,0.362,0.115478
0.66,20.3,25.8,1,211,1,523.74,0.1,0.211,0.1,0.203,0.258,0.052374
0.885007,23.6,31.9,1,212,1,752.84,0.1,0.212,0.1,0.236,0.319,0.075284
12.4453,22.9,38.3,1,213,1,877.07,0.1,0.213,0.1,0.229,0.383,0.087707
1.974181,28.9,41.9,1,214,1,1210.91,0.1,0.214,0.1,0.289,0.419,0.121091
4.311578,31.5,36.2,0,215,1,1140.3,0,0.215,0.1,0.315,0.362,0.11403
6.875,35,45.5,1,216,2,1592.5,0.1,0.216,0.2,0.35,0.455,0.15925
11.0401,35.2,36.4,1,217,1,1281.28,0.1,0.217,0.1,0.352,0.364,0.128128
0.619539,19.7,25.6,1,218,2,504.32,0.1,0.218,0.2,0.197,0.256,0.050432
4.95419,21.3,28.7,1,219,2,611.31,0.1,0.219,0.2,0.213,0.287,0.061131
2.09,23.6,32,1,220,1,755.2,0.1,0.22,0.1,0.236,0.32,0.07552
24.20575,39.4,25.7,1,221,2,1012.58,0.1,0.221,0.2,0.394,0.257,0.101258
1.912,23.9,32.1,1,222,2,767.19,0.1,0.222,0.2,0.239,0.321,0.076719
0.825,29.1,36.5,1,223,2,1062.15,0.1,0.223,0.2,0.291,0.365,0.106215
0.886,14,28.7,1,224,1,401.8,0.1,0.224,0.1,0.14,0.287,0.04018
0.55316,14,28.7,1,224,2,401.8,0.1,0.224,0.2,0.14,0.287,0.04018
0.4205,31.5,25.3,0,225,1,796.95,0,0.225,0.1,0.315,0.253,0.079695
1.33126,31.5,25.2,1,226,2,793.8,0.1,0.226,0.2,0.315,0.252,0.07938
2.14158,31.5,25.2,1,226,3,793.8,0.1,0.226,0.3,0.315,0.252,0.07938
1.33346,26.4,32.3,1,227,2,852.72,0.1,0.227,0.2,0.264,0.323,0.085272
1.11466,21.7,29.1,1,228,2,631.47,0.1,0.228,0.2,0.217,0.291,0.063147
0.708895,25.7,32,1,229,1,822.4,0.1,0.229,0.1,0.257,0.32,0.08224
3.025,24,39.5,1,230,2,948,0.1,0.23,0.2,0.24,0.395,0.0948
2.8527,15,20.7,1,231,2,310.5,0.1,0.231,0.2,0.15,0.207,0.03105
0.561,21.3,31.1,1,232,2,662.43,0.1,0.232,0.2,0.213,0.311,0.066243
1.188879,19.7,31.9,1,233,1,628.43,0.1,0.233,0.1,0.197,0.319,0.062843
0.960211,28.7,36.2,1,234,3,1038.94,0.1,0.234,0.3,0.287,0.362,0.103894
2.09,25.6,39.6,1,235,1,1013.76,0.1,0.235,0.1,0.256,0.396,0.101376
7.1525,25.6,36.3,1,236,2,929.28,0.1,0.236,0.2,0.256,0.363,0.092928
6.71,25.6,36.2,1,237,2,926.72,0.1,0.237,0.2,0.256,0.362,0.092672
7.046,45.9,28.6,0,238,1,1312.74,0,0.238,0.1,0.459,0.286,0.131274
8.25,36.3,28.7,1,239,1,1041.81,0.1,0.239,0.1,0.363,0.287,0.104181
11.0025,36.2,29.1,1,240,2,1053.42,0.1,0.24,0.2,0.362,0.291,0.105342
1.17073,24.4,19.7,1,241,1,480.68,0.1,0.241,0.1,0.244,0.197,0.048068
20.1675,31.9,36.2,1,242,1,1154.78,0.1,0.242,0.1,0.319,0.362,0.115478
0.8275,28.7,36.3,0,243,1,1041.81,0,0.243,0.1,0.287,0.363,0.104181
0.817255,23.6,31.9,1,244,2,752.84,0.1,0.244,0.2,0.236,0.319,0.075284
0.819577,19.7,28.7,1,245,1,565.39,0.1,0.245,0.1,0.197,0.287,0.056539
0.630498,19.7,28.7,1,245,2,565.39,0.1,0.245,0.2,0.197,0.287,0.056539
2.75575,51.5,35.1,1,246,2,1807.65,0.1,0.246,0.2,0.515,0.351,0.180765
2.3595,51.5,35,1,246,1,1802.5,0.1,0.246,0.1,0.515,0.35,0.18025
2.42,51.2,35,1,246,2,1792,0.1,0.246,0.2,0.512,0.35,0.1792
4.62,28.9,36.2,1,247,1,1046.18,0.1,0.247,0.1,0.289,0.362,0.104618
3.3,25.6,36.2,1,248,1,926.72,0.1,0.248,0.1,0.256,0.362,0.092672
5.72575,35.4,36.5,1,249,2,1292.1,0.1,0.249,0.2,0.354,0.365,0.12921
